290,131,278.53,193.18,76.17,67.23,0.89,0,-1
291,131,279.04,181.60,86.58,74.22,0.90,0,-1
292,131,279.28,172.99,95.20,80.05,0.92,0,-1
293,131,280.59,166.61,100.58,83.55,0.88,0,-1
294,131,281.49,162.71,105.14,86.24,0.86,0,-1
295,131,281.65,161.30,106.64,86.23,0.86,0,-1
296,131,275.84,163.72,102.36,83.27,0.79,0,-1
297,131,271.01,165.24,98.54,81.20,0.81,0,-1
298,131,269.06,166.49,93.36,78.36,0.81,0,-1
299,131,269.39,167.45,89.51,76.47,0.78,0,-1
300,131,269.92,167.62,87.07,75.69,0.78,0,-1
301,131,272.62,165.64,87.06,76.55,0.76,0,-1
302,131,281.11,158.91,94.02,81.62,0.80,0,-1
303,131,284.59,157.58,96.88,82.93,0.87,0,-1
304,131,285.45,157.76,98.15,83.24,0.88,0,-1
305,131,283.17,160.30,98.27,82.92,0.87,0,-1
306,131,282.50,163.02,94.91,79.59,0.87,0,-1
307,131,283.72,166.34,89.09,74.59,0.86,0,-1
308,131,287.43,174.47,75.54,63.20,0.73,0,-1
309,131,269.48,182.73,90.60,77.47,0.39,0,-1
309,137,338.52,141.87,45.12,45.29,0.85,2,-1
310,137,330.13,147.11,49.28,49.53,0.84,2,-1
311,137,312.99,158.93,57.20,57.64,0.90,2,-1
312,137,302.26,173.81,57.99,58.37,0.87,2,-1
313,137,292.66,186.58,58.55,58.84,0.87,2,-1
314,137,278.87,209.06,57.96,57.99,0.87,2,-1
315,137,268.44,226.68,57.34,56.96,0.86,2,-1
316,137,255.67,249.32,55.67,55.04,0.87,2,-1
317,137,246.61,266.46,53.69,52.57,0.89,2,-1
318,137,237.01,289.71,50.48,48.78,0.87,2,-1
319,137,228.69,304.91,50.55,48.33,0.88,2,-1
320,137,221.10,324.86,48.84,45.85,0.87,2,-1
321,137,212.18,342.73,47.53,44.02,0.84,2,-1
322,137,205.36,353.88,48.83,44.39,0.86,2,-1
323,137,195.40,367.52,50.38,45.29,0.88,2,-1
324,137,187.74,376.69,52.13,46.33,0.87,2,-1
325,137,178.74,388.19,54.98,48.57,0.87,2,-1
326,137,171.84,396.31,57.05,49.97,0.87,2,-1
327,137,164.07,406.59,58.76,51.09,0.89,2,-1
328,137,154.35,416.67,61.42,53.38,0.87,2,-1
329,137,147.33,422.49,65.71,57.27,0.88,2,-1
330,137,140.96,428.51,65.95,57.10,0.84,2,-1
331,137,138.14,433.10,63.40,54.17,0.29,2,-1
